club,busyness,date
ŽALGIRIO ARENA,1%,2021-12-13 16:00:06
ANTAKALNIS,19%,2021-12-13 17:00:06
BANGINIS,24%,2021-12-13 17:00:06
EUROPA,22%,2021-12-13 17:00:06
FABIJONIŠKĖS,23%,2021-12-13 17:00:06
PERKŪNKIEMIS,21%,2021-12-13 17:00:06
PILAITĖ,23%,2021-12-13 17:00:06
SAVANORIAI,23%,2021-12-13 17:00:06
ŠILAINIAI,24%,2021-12-13 17:00:06
ŽALGIRIO ARENA,8%,2021-12-13 17:00:06
ANTAKALNIS,19%,2021-12-13 18:00:06
BANGINIS,29%,2021-12-13 18:00:06
EUROPA,19%,2021-12-13 18:00:06
FABIJONIŠKĖS,22%,2021-12-13 18:00:06
PERKŪNKIEMIS,23%,2021-12-13 18:00:06
PILAITĖ,26%,2021-12-13 18:00:06
SAVANORIAI,20%,2021-12-13 18:00:06
ŠILAINIAI,24%,2021-12-13 18:00:06
ŽALGIRIO ARENA,13%,2021-12-13 18:00:06
ANTAKALNIS,13%,2021-12-13 19:00:06
BANGINIS,23%,2021-12-13 19:00:06
EUROPA,23%,2021-12-13 19:00:06
FABIJONIŠKĖS,24%,2021-12-13 19:00:06
PERKŪNKIEMIS,28%,2021-12-13 19:00:06
PILAITĖ,16%,2021-12-13 19:00:06
SAVANORIAI,21%,2021-12-13 19:00:06
ŠILAINIAI,26%,2021-12-13 19:00:06
ŽALGIRIO ARENA,16%,2021-12-13 19:00:06
ANTAKALNIS,25%,2021-12-13 20:00:06
BANGINIS,28%,2021-12-13 20:00:06
EUROPA,24%,2021-12-13 20:00:06
FABIJONIŠKĖS,23%,2021-12-13 20:00:06
PERKŪNKIEMIS,23%,2021-12-13 20:00:06
PILAITĖ,19%,2021-12-13 20:00:06
SAVANORIAI,18%,2021-12-13 20:00:06
ŠILAINIAI,24%,2021-12-13 20:00:06
ŽALGIRIO ARENA,12%,2021-12-13 20:00:06
ANTAKALNIS,25%,2021-12-13 21:00:06
BANGINIS,23%,2021-12-13 21:00:06
EUROPA,16%,2021-12-13 21:00:06
FABIJONIŠKĖS,19%,2021-12-13 21:00:06
PERKŪNKIEMIS,17%,2021-12-13 21:00:06
PILAITĖ,15%,2021-12-13 21:00:06
SAVANORIAI,20%,2021-12-13 21:00:06
ŠILAINIAI,30%,2021-12-13 21:00:06
ŽALGIRIO ARENA,13%,2021-12-13 21:00:06
ANTAKALNIS,14%,2021-12-13 22:00:07
BANGINIS,12%,2021-12-13 22:00:07
EUROPA,7%,2021-12-13 22:00:07
FABIJONIŠKĖS,11%,2021-12-13 22:00:07
PERKŪNKIEMIS,9%,2021-12-13 22:00:07
PILAITĖ,5%,2021-12-13 22:00:07
SAVANORIAI,14%,2021-12-13 22:00:07
ŠILAINIAI,13%,2021-12-13 22:00:07
ŽALGIRIO ARENA,4%,2021-12-13 22:00:07
ANTAKALNIS,14%,2021-12-14 15:00:09
BANGINIS,12%,2021-12-14 15:00:09
EUROPA,9%,2021-12-14 15:00:09
FABIJONIŠKĖS,13%,2021-12-14 15:00:09
PERKŪNKIEMIS,8%,2021-12-14 15:00:09
PILAITĖ,5%,2021-12-14 15:00:09
SAVANORIAI,13%,2021-12-14 15:00:09
ŠILAINIAI,16%,2021-12-14 15:00:09
ŽALGIRIO ARENA,4%,2021-12-14 15:00:09
ANTAKALNIS,22%,2021-12-14 16:00:08
BANGINIS,19%,2021-12-14 16:00:08
EUROPA,12%,2021-12-14 16:00:08
FABIJONIŠKĖS,19%,2021-12-14 16:00:08
PERKŪNKIEMIS,12%,2021-12-14 16:00:08
PILAITĖ,9%,2021-12-14 16:00:08
SAVANORIAI,19%,2021-12-14 16:00:08
ŠILAINIAI,19%,2021-12-14 16:00:08
ŽALGIRIO ARENA,14%,2021-12-14 16:00:08
ANTAKALNIS,23%,2021-12-14 17:00:08
BANGINIS,21%,2021-12-14 17:00:08
EUROPA,17%,2021-12-14 17:00:08
FABIJONIŠKĖS,17%,2021-12-14 17:00:08
PERKŪNKIEMIS,15%,2021-12-14 17:00:08
