club,busyness,date
ANTAKALNIS,13%,2022-01-05 20:00:07
BANGINIS,28%,2022-01-05 20:00:07
EUROPA,14%,2022-01-05 20:00:07
FABIJONIŠKĖS,17%,2022-01-05 20:00:07
PERKŪNKIEMIS,21%,2022-01-05 20:00:07
PILAITĖ,18%,2022-01-05 20:00:07
SAVANORIAI,23%,2022-01-05 20:00:07
ŠILAINIAI,22%,2022-01-05 20:00:07
ŽALGIRIO ARENA,26%,2022-01-05 20:00:07
ANTAKALNIS,5%,2022-01-06 10:00:10
BANGINIS,10%,2022-01-06 10:00:10
EUROPA,12%,2022-01-06 10:00:10
FABIJONIŠKĖS,6%,2022-01-06 10:00:10
PERKŪNKIEMIS,7%,2022-01-06 10:00:10
PILAITĖ,5%,2022-01-06 10:00:10
SAVANORIAI,9%,2022-01-06 10:00:10
ŠILAINIAI,11%,2022-01-06 10:00:10
ŽALGIRIO ARENA,6%,2022-01-06 10:00:10
ANTAKALNIS,8%,2022-01-06 11:00:09
BANGINIS,12%,2022-01-06 11:00:09
EUROPA,12%,2022-01-06 11:00:09
FABIJONIŠKĖS,8%,2022-01-06 11:00:09
PERKŪNKIEMIS,6%,2022-01-06 11:00:09
PILAITĖ,6%,2022-01-06 11:00:09
SAVANORIAI,11%,2022-01-06 11:00:09
ŠILAINIAI,12%,2022-01-06 11:00:09
ŽALGIRIO ARENA,10%,2022-01-06 11:00:09
ANTAKALNIS,14%,2022-01-06 12:00:08
BANGINIS,13%,2022-01-06 12:00:08
EUROPA,15%,2022-01-06 12:00:08
FABIJONIŠKĖS,9%,2022-01-06 12:00:08
PERKŪNKIEMIS,11%,2022-01-06 12:00:08
PILAITĖ,10%,2022-01-06 12:00:08
SAVANORIAI,13%,2022-01-06 12:00:08
ŠILAINIAI,18%,2022-01-06 12:00:08
ŽALGIRIO ARENA,17%,2022-01-06 12:00:08
ANTAKALNIS,16%,2022-01-06 13:00:08
BANGINIS,15%,2022-01-06 13:00:08
EUROPA,16%,2022-01-06 13:00:08
FABIJONIŠKĖS,15%,2022-01-06 13:00:08
PERKŪNKIEMIS,13%,2022-01-06 13:00:08
PILAITĖ,10%,2022-01-06 13:00:08
SAVANORIAI,15%,2022-01-06 13:00:08
ŠILAINIAI,14%,2022-01-06 13:00:08
ŽALGIRIO ARENA,17%,2022-01-06 13:00:08
ANTAKALNIS,11%,2022-01-06 14:00:08
BANGINIS,15%,2022-01-06 14:00:08
EUROPA,11%,2022-01-06 14:00:08
FABIJONIŠKĖS,17%,2022-01-06 14:00:08
PERKŪNKIEMIS,10%,2022-01-06 14:00:08
PILAITĖ,11%,2022-01-06 14:00:08
SAVANORIAI,13%,2022-01-06 14:00:08
ŠILAINIAI,14%,2022-01-06 14:00:08
ŽALGIRIO ARENA,10%,2022-01-06 14:00:08
ANTAKALNIS,12%,2022-01-07 15:00:07
BANGINIS,16%,2022-01-07 15:00:07
EUROPA,13%,2022-01-07 15:00:07
FABIJONIŠKĖS,18%,2022-01-07 15:00:07
PERKŪNKIEMIS,9%,2022-01-07 15:00:07
PILAITĖ,8%,2022-01-07 15:00:07
SAVANORIAI,16%,2022-01-07 15:00:07
ŠILAINIAI,23%,2022-01-07 15:00:07
ŽALGIRIO ARENA,15%,2022-01-07 15:00:07
ANTAKALNIS,20%,2022-01-07 16:00:07
BANGINIS,20%,2022-01-07 16:00:07
EUROPA,14%,2022-01-07 16:00:07
FABIJONIŠKĖS,17%,2022-01-07 16:00:07
PERKŪNKIEMIS,8%,2022-01-07 16:00:07
PILAITĖ,9%,2022-01-07 16:00:07
SAVANORIAI,13%,2022-01-07 16:00:07
ŠILAINIAI,27%,2022-01-07 16:00:07
ŽALGIRIO ARENA,14%,2022-01-07 16:00:07
ANTAKALNIS,23%,2022-01-07 17:00:07
BANGINIS,20%,2022-01-07 17:00:07
EUROPA,18%,2022-01-07 17:00:07
FABIJONIŠKĖS,24%,2022-01-07 17:00:07
PERKŪNKIEMIS,15%,2022-01-07 17:00:07
PILAITĖ,11%,2022-01-07 17:00:07
SAVANORIAI,19%,2022-01-07 17:00:07
ŠILAINIAI,23%,2022-01-07 17:00:07
ŽALGIRIO ARENA,17%,2022-01-07 17:00:07
ANTAKALNIS,16%,2022-01-07 18:00:08
BANGINIS,27%,2022-01-07 18:00:08
EUROPA,23%,2022-01-07 18:00:08
FABIJONIŠKĖS,22%,2022-01-07 18:00:08
PERKŪNKIEMIS,22%,2022-01-07 18:00:08
PILAITĖ,10%,2022-01-07 18:00:08
SAVANORIAI,26%,2022-01-07 18:00:08
ŠILAINIAI,19%,2022-01-07 18:00:08
ŽALGIRIO ARENA,20%,2022-01-07 18:00:08
ANTAKALNIS,20%,2022-01-07 19:00:09
BANGINIS,24%,2022-01-07 19:00:09
EUROPA,19%,2022-01-07 19:00:09
FABIJONIŠKĖS,12%,2022-01-07 19:00:09
PERKŪNKIEMIS,24%,2022-01-07 19:00:09
PILAITĖ,15%,2022-01-07 19:00:09
SAVANORIAI,23%,2022-01-07 19:00:09
ŠILAINIAI,23%,2022-01-07 19:00:09
ŽALGIRIO ARENA,21%,2022-01-07 19:00:09
